Variable,VIF
CVS1,6.286
CVS2,5.882
CVS3,6.196
CVS4,5.67
CVS5,5.957
CVS6,1186.536
CVS7,5.799
CVS8,8.051
CVS9,1189.422
VA1,5.99
VA2,6.992
VA3,5.947
VA4,6.496
VA5,6.178
VA6,5.58
VA7,6.032
VA8,6.203
DMP1,6.615
DMP2,6.227
DMP3,6.314
DMP4,6.275
DMP5,5.745
DMP6,6.582
DMP7,6.226
IVS1,6.853
IVS2,6.409
IVS3,6.425
IVS4,7.225
IVS5,6.419
IVS6,5.71
IVS7,7.205
IVS8,6.567
DCE1,6.222
DCE2,5.943
DCE3,6.04
DCE4,6.232
DCE5,5.981
